home,score,away,year
Uruguay ,4:0 (1:0), Chile,1916
,,,1916
Argentina ,6:1 (1:1), Chile,1916
,,,1916
Chile ,1:1 (0:1), Brasil,1916
,,,1916
Argentina ,1:1 (1:1), Brasil,1916
,,,1916
Uruguay ,2:1 (0:1), Brasil,1916
,,,1916
Argentina ,0:0, Uruguay,1916
,,,1916
Uruguay ,4:0 (2:0), Chile,1917
,,,1917
Argentina ,4:2 (1:2), Brasil,1917
,,,1917
Argentina ,1:0 (0:0), Chile,1917
,,,1917
Uruguay ,4:0 (2:0), Brasil,1917
,,,1917
Brasil ,5:0 (4:0), Chile,1917
,,,1917
Uruguay ,1:0 (0:0), Argentina,1917
,,,1917
Brasil ,6:0 (3:0), Chile,1919
,,,1919
Uruguay ,3:2 (2:1), Argentina,1919
,,,1919
Uruguay ,2:0 (2:0), Chile,1919
,,,1919
Brasil ,3:1 (1:0), Argentina,1919
,,,1919
Argentina ,4:1 (3:1), Chile,1919
,,,1919
Brasil ,2:2 (1:2), Uruguay,1919
,,,1919
Brasil ,"1:0 (0:0, 0:0, 0:0) (t. s.)", Uruguay,1919
,,,1919
Chile ,0:1 (0:0), Brasil,1920
,,,1920
Argentina ,1:1 (0:1), Uruguay,1920
,,,1920
Uruguay ,6:0 (3:0), Brasil,1920
,,,1920
Chile ,1:1 (1:1), Argentina,1920
,,,1920
Argentina ,2:0 (1:0), Brasil,1920
,,,1920
Uruguay ,2:1 (1:0), Chile,1920
,,,1920
Argentina ,1:0 (1:0), Brasil,1921
,,,1921
Paraguay ,2:1 (1:0), Uruguay,1921
,,,1921
Paraguay ,0:3 (0:2), Brasil,1921
,,,1921
Argentina ,3:0 (1:0), Paraguay,1921
,,,1921
Uruguay ,2:1 (1:0), Brasil,1921
,,,1921
Argentina ,1:0 (0:0), Uruguay,1921
,,,1921
Brasil ,1:1 (1:1), Chile,1922
,,,1922
Uruguay ,2:0 (2:0), Chile,1922
,,,1922
Brasil ,1:1 (0:1), Paraguay,1922
,,,1922
Argentina ,4:0 (3:0), Chile,1922
,,,1922
Brasil ,0:0, Uruguay,1922
,,,1922
Paraguay ,3:0 (2:0), Chile,1922
,,,1922
Uruguay ,1:0 (1:0), Argentina,1922
,,,1922
Paraguay ,1:0 (1:0), Uruguay,1922
,,,1922
Brasil ,2:0 (1:0), Argentina,1922
,,,1922
